bench_name	num_qubits	compiler_type	percent_inter	runtime	num_op	depth	init_ctrl_latency	num_cif_pairs	impl
pe	20	baseline	0.8343868520859671	7.909999999999985e-05	442	182	6.934999999999992e-05	132	baseline
qft	20	baseline	0.912453760789149	8.109999999999986e-05	270	99	7.609999999999988e-05	148	baseline
random	20	baseline	0.7351857311320743	0.0002713600000000026	2084	726	6.994999999999992e-05	399	baseline
cc	12	baseline	0.8404802744425387	2.914999999999997e-05	153	109	8.950000000000002e-06	49	baseline
