bench_name	num_qubits	compiler_type	percent_inter	runtime	num_op	depth	init_ctrl_latency	num_cif_pairs	impl
pe	20	multi_ctrl	0.33699893579283424	2.8190000000000013e-05	439	164	1.8050000000000076e-05	19	map+layout+route
qft	20	multi_ctrl	0.0	1.449999999999998e-05	270	99	9.500000000000007e-06	0	map+layout+route
random	20	multi_ctrl	0.3143921751280822	0.00012882000000000122	2103	690	2.520000000000006e-05	81	map+layout+route
cc	12	multi_ctrl	0.29880478087649415	1.0039999999999995e-05	159	109	1.1650000000000004e-05	6	map+layout+route
