bench_name	num_qubits	compiler_type	percent_inter	runtime	num_op	depth	init_ctrl_latency	num_cif_pairs	impl
pe	20	multi_ctrl	0.3239004432321857	2.9329999999999985e-05	472	176	1.8050000000000056e-05	19	map+layout+route
qft	20	multi_ctrl	0.0	1.449999999999998e-05	270	99	9.500000000000007e-06	0	map+layout+route
random	20	multi_ctrl	0.0	9.337000000000128e-05	2128	840	9.450000000000008e-06	0	map+layout+route
cc	12	multi_ctrl	0.30612244897959195	9.799999999999996e-06	153	110	1.1650000000000004e-05	6	map+layout+route
