bench_name	num_qubits	compiler_type	percent_inter	runtime	num_op	depth	init_ctrl_latency	num_cif_pairs	impl
pe	20	baseline	0.8408002945869646	8.146999999999983e-05	445	189	6.844999999999993e-05	137	baseline
qft	20	baseline	0.9090909090909087	7.974999999999986e-05	270	99	7.474999999999989e-05	145	baseline
random	20	baseline	0.6368089573128024	0.00021435000000000136	2055	700	5.100000000000003e-05	273	baseline
cc	12	baseline	0.8055451479955038	2.6689999999999987e-05	159	114	6.700000000000003e-06	43	baseline
